saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
37.153.127.23,394238245,192.168.50.16,271755456,36030,55,udp,1,161.0,52500.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041d301b040af5717f7483ef46b34500020122020400cd71f5040004000400302e040af5717f7483ef46b345000400a81e020237f002010002010030123010060a2b060106030f01010400410251fd,0,0,2025-05-17T16:43:04.260+0200,1747492984,260862
109.104.153.1,26830957,192.168.50.16,271755456,2428,56,udp,1,161.0,51634.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f444ca8f8eb5d00020101020405aa7df2040004000400302f040af5717f444ca8f8eb5d000400a81f020237f002010002010030133011060a2b060106030f01010400410300998f,0,0,2025-05-17T16:43:04.260+0200,1747492984,260906
87.195.0.13,218153815,192.168.50.16,271755456,47413,54,udp,1,161.0,59373.0,,,,,108.0,3062020103300f02024a69020300ffe3040100020103041b3019040b80000009035451de26b110020100020100040004000400302f040b80000009035451de26b1100400a81e020237f002010002010030123010060a2b060106030f010104004102144a,0,0,2025-05-17T16:43:04.260+0200,1747492984,260942
213.152.176.1,28350677,192.168.50.16,271755456,45454,54,udp,1,161.0,55001.0,,,,,112.0,3066020103300f02024a69020300ffe3040100020103041e301c040b80000a4c03ec3873d5382c0201020204089f02d00400040004003030040b80000a4c03ec3873d5382c0400a81f020237f002010002010030133011060a2b060106030f0101040041030bcfec,0,0,2025-05-17T16:43:04.260+0200,1747492984,260977
185.209.161.1,27382201,192.168.50.16,271755456,21012,57,udp,1,161.0,51799.0,,,,,97.0,3057020103300f02024a69020300ffe304010002010304153013040580003a8c04020100020100040004000400302a040580003a8c040400a81f020237f002010002010030133011060a2b060106030f010104004103024fbc,0,0,2025-05-17T16:43:04.261+0200,1747492984,261015
193.53.90.1,22689217,192.168.50.16,271755456,64837,56,udp,1,161.0,40215.0,,,,,106.0,3060020103300f02024a69020300ffe3040100020103041b3019040980000a4c01b2d95006020105020307325b040004000400302d040980000a4c01b2d950060400a81e020237f002010002010030123010060a2b060106030f010104004102099d,0,0,2025-05-17T16:43:04.261+0200,1747492984,261045
185.248.68.1,21297337,192.168.50.16,271755456,0,56,udp,1,161.0,43815.0,,,,,97.0,3057020103300f02024a69020300ffe304010402010304153013040580003a8c04020100020100040004000400302a040580003a8c040400a81f020237f002010002010030133011060a2b060106030f01010400410300dd5b,0,0,2025-05-17T16:43:04.261+0200,1747492984,261077
46.229.160.30,513860910,192.168.50.16,271755456,31813,53,udp,1,161.0,49450.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041b3019040b80000009036cb2ae6015100201000201000400040004003030040b80000009036cb2ae6015100400a81f020237f002010002010030133011060a2b060106030f01010400410300fabb,0,0,2025-05-17T16:43:04.261+0200,1747492984,261151
212.222.130.214,3598900948,192.168.50.16,271755456,57527,243,udp,1,161.0,52384.0,,,,,117.0,306b020103300e02024a69020205dc0401000201030421301f040f800063a2804431925643fd000000040201030203167c6f0400040004003033040f800063a2804431925643fd000000040400a81e020237f002010002010030123010060a2b060106030f0101040041020143,0,0,2025-05-17T16:43:04.261+0200,1747492984,261208
92.118.206.123,2077128284,192.168.50.16,271755456,33447,56,udp,1,161.0,36180.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041d301b040af5717f2cdde94aa5490002010a020400a2cbca040004000400302e040af5717f2cdde94aa549000400a81e020237f002010002010030123010060a2b060106030f0101040041026579,0,0,2025-05-17T16:43:04.272+0200,1747492984,272298
95.142.97.59,996249183,192.168.50.16,271755456,50258,248,udp,1,161.0,39465.0,,,,,113.0,3067020103300e02024a6902020800040100020103041f301d040c0000000903005cb12effe2e2020101020403aadc850400040004003031040c0000000903005cb12effe2e20400a81f020237f002010002010030133011060a2b060106030f0101040041030148f6,0,0,2025-05-17T16:43:04.272+0200,1747492984,272370
